cohort_month,months_since_first_order,retention_rate
2026-01-01,0,100.0
2026-02-01,0,100.0
2026-03-01,0,100.0
2026-04-01,0,100.0
2026-05-01,0,100.0
2026-06-01,0,100.0
2026-01-01,1,44.307270233196164
2026-02-01,1,47.161572052401745
2026-03-01,1,46.59949622166247
2026-04-01,1,52.15311004784689
2026-05-01,1,41.81818181818181
2026-06-01,1,
2026-01-01,2,48.559670781893004
2026-02-01,2,43.66812227074236
2026-03-01,2,45.5919395465995
2026-04-01,2,45.45454545454545
2026-05-01,2,
2026-06-01,2,
2026-01-01,3,47.25651577503429
2026-02-01,3,47.74381368267831
2026-03-01,3,43.8287153652393
2026-04-01,3,
2026-05-01,3,
2026-06-01,3,
2026-01-01,4,44.51303155006859
2026-02-01,4,47.74381368267831
2026-03-01,4,
2026-04-01,4,
2026-05-01,4,
2026-06-01,4,
2026-01-01,5,44.650205761316876
2026-02-01,5,
2026-03-01,5,
2026-04-01,5,
2026-05-01,5,
2026-06-01,5,
