customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
C00001,8,3,1349.0,5,2,2,9,Potential Loyalists
C00002,37,3,2038.0,3,2,3,8,Potential Loyalists
C00003,133,2,910.0,1,1,1,3,Hibernating
C00004,32,5,3001.0,3,4,5,12,Loyal Customers
C00005,22,1,408.0,4,1,1,6,At Risk
C00006,6,2,1448.0,5,1,2,8,Potential Loyalists
C00007,85,4,1949.0,1,3,3,7,Potential Loyalists
C00008,7,7,3956.0,5,5,5,15,Champions
C00009,5,2,860.0,5,1,1,7,Potential Loyalists
C00010,57,2,666.0,2,1,1,4,Hibernating
C00011,3,7,4112.0,5,5,5,15,Champions
C00012,44,5,2487.0,2,4,4,10,Loyal Customers
C00013,2,3,1694.0,5,2,3,10,Loyal Customers
C00014,53,1,376.0,2,1,1,4,Hibernating
C00015,23,5,2206.0,4,4,4,12,Loyal Customers
C00017,23,6,3685.0,4,5,5,14,Champions
C00018,3,7,3286.0,5,5,5,15,Champions
C00019,50,6,3203.0,2,5,5,12,Loyal Customers
C00020,87,2,681.0,1,1,1,3,Hibernating
C00021,30,5,3051.0,3,4,5,12,Loyal Customers
C00022,42,3,1573.0,3,2,2,7,Potential Loyalists
C00023,6,5,3433.0,5,4,5,14,Champions
C00024,11,5,2173.0,4,4,4,12,Loyal Customers
C00025,9,7,3280.0,5,5,5,15,Champions
C00026,44,6,3827.0,2,5,5,12,Loyal Customers
C00027,20,5,3106.0,4,4,5,13,Champions
C00028,7,4,2273.0,5,3,4,12,Loyal Customers
C00029,70,3,2195.0,2,2,4,8,Potential Loyalists
C00030,41,5,2585.0,3,4,4,11,Loyal Customers
C00031,2,3,1938.0,5,2,3,10,Loyal Customers
C00032,37,4,1863.0,3,3,3,9,Potential Loyalists
C00033,5,5,2893.0,5,4,5,14,Champions
C00034,68,2,978.0,2,1,1,4,Hibernating
C00035,92,3,1695.0,1,2,3,6,At Risk
C00036,61,5,2810.0,2,4,5,11,Loyal Customers
C00037,6,2,760.0,5,1,1,7,Potential Loyalists
C00038,9,6,3387.0,5,5,5,15,Champions
C00039,58,3,860.0,2,2,1,5,At Risk
C00040,1,2,1995.0,5,1,3,9,Potential Loyalists
C00041,34,1,225.0,3,1,1,5,At Risk
C00042,97,5,2312.0,1,4,4,9,Potential Loyalists
C00043,123,3,1972.0,1,2,3,6,At Risk
C00044,41,2,753.0,3,1,1,5,At Risk
C00045,38,4,2524.0,3,3,4,10,Loyal Customers
C00046,19,3,1705.0,4,2,3,9,Potential Loyalists
C00047,28,2,1334.0,3,1,2,6,At Risk
C00048,16,4,2657.0,4,3,4,11,Loyal Customers
C00049,23,6,3037.0,4,5,5,14,Champions
C00050,98,1,371.0,1,1,1,3,Hibernating
C00051,14,3,959.0,4,2,1,7,Potential Loyalists
C00052,35,4,1826.0,3,3,3,9,Potential Loyalists
C00053,72,3,1060.0,2,2,2,6,At Risk
C00054,1,2,863.0,5,1,1,7,Potential Loyalists
C00055,33,5,2471.0,3,4,4,11,Loyal Customers
C00056,2,6,3443.0,5,5,5,15,Champions
C00057,4,2,889.0,5,1,1,7,Potential Loyalists
C00058,67,3,1978.0,2,2,3,7,Potential Loyalists
C00059,11,6,2993.0,4,5,5,14,Champions
C00060,33,3,1117.0,3,2,2,7,Potential Loyalists
C00063,79,4,2402.0,1,3,4,8,Potential Loyalists
C00064,38,6,3043.0,3,5,5,13,Champions
C00066,1,8,5748.0,5,5,5,15,Champions
C00067,87,2,958.0,1,1,1,3,Hibernating
C00068,59,3,1664.0,2,2,3,7,Potential Loyalists
C00069,9,2,1013.0,5,1,1,7,Potential Loyalists
C00070,41,2,791.0,3,1,1,5,At Risk
C00071,6,2,912.0,5,1,1,7,Potential Loyalists
C00072,4,6,2368.0,5,5,4,14,Champions
C00073,20,2,815.0,4,1,1,6,At Risk
C00074,98,6,3993.0,1,5,5,11,Loyal Customers
C00075,160,1,374.0,1,1,1,3,Hibernating
C00076,70,2,1086.0,2,1,2,5,At Risk
C00077,70,1,325.0,2,1,1,4,Hibernating
C00078,16,3,1930.0,4,2,3,9,Potential Loyalists
C00079,11,7,4273.0,4,5,5,14,Champions
C00080,0,3,1574.0,5,2,2,9,Potential Loyalists
C00081,6,4,2261.0,5,3,4,12,Loyal Customers
C00082,1,5,2645.0,5,4,4,13,Champions
C00083,111,3,1459.0,1,2,2,5,At Risk
C00084,75,2,1396.0,1,1,2,4,Hibernating
C00085,32,5,3242.0,3,4,5,12,Loyal Customers
C00086,9,4,1917.0,5,3,3,11,Loyal Customers
C00087,164,2,1479.0,1,1,2,4,Hibernating
C00088,76,2,1556.0,1,1,2,4,Hibernating
C00089,0,5,2499.0,5,4,4,13,Champions
C00090,6,3,1356.0,5,2,2,9,Potential Loyalists
C00091,3,3,1482.0,5,2,2,9,Potential Loyalists
C00092,103,5,2498.0,1,4,4,9,Potential Loyalists
C00093,5,5,2703.0,5,4,4,13,Champions
C00094,9,8,3773.0,5,5,5,15,Champions
C00095,141,2,1060.0,1,1,2,4,Hibernating
C00096,81,3,1202.0,1,2,2,5,At Risk
C00098,19,1,422.0,4,1,1,6,At Risk
C00099,71,3,1301.0,2,2,2,6,At Risk
C00100,89,2,686.0,1,1,1,3,Hibernating
C00101,32,4,2951.0,3,3,5,11,Loyal Customers
C00102,1,4,1845.0,5,3,3,11,Loyal Customers
C00103,74,6,4266.0,2,5,5,12,Loyal Customers
C00104,25,1,700.0,3,1,1,5,At Risk
C00105,44,7,3105.0,2,5,5,12,Loyal Customers
C00106,33,5,3474.0,3,4,5,12,Loyal Customers
C00107,108,3,1913.0,1,2,3,6,At Risk
C00108,63,3,1769.0,2,2,3,7,Potential Loyalists
C00109,2,3,1909.0,5,2,3,10,Loyal Customers
C00110,29,4,2062.0,3,3,3,9,Potential Loyalists
C00111,29,9,6126.0,3,5,5,13,Champions
C00112,61,3,1863.0,2,2,3,7,Potential Loyalists
C00113,36,2,1068.0,3,1,2,6,At Risk
C00114,53,4,2289.0,2,3,4,9,Potential Loyalists
C00115,43,4,2014.0,3,3,3,9,Potential Loyalists
C00116,17,2,1207.0,4,1,2,7,Potential Loyalists
C00117,14,5,2653.0,4,4,4,12,Loyal Customers
C00118,25,4,1705.0,3,3,3,9,Potential Loyalists
C00119,4,4,1873.0,5,3,3,11,Loyal Customers
C00120,27,2,796.0,3,1,1,5,At Risk
