order_id,order_date,customer_id,restaurant_id,city,cuisine,order_value,discount,delivery_fee,net_order_value,delivery_time_min,rating,order_status,payment_method,promo_used,distance_km,is_new_customer,month
O000001,2026-04-07,C02517,R0122,Chennai,Healthy,539.0,80,39,459.0,52,3.3,Delivered,Card,True,9.6,False,2026-04
O000002,2026-05-01,C01887,R0154,Bengaluru,Burgers,784.0,0,29,784.0,55,4.9,Delivered,Cash,False,7.7,False,2026-05
O000003,2026-05-21,C02692,R0168,Bengaluru,Biryani,401.0,20,39,381.0,35,4.0,Delivered,UPI,True,2.5,False,2026-05
O000004,2026-03-28,C02729,R0054,Delhi NCR,Biryani,581.0,40,0,541.0,44,4.3,Delivered,Wallet,True,3.1,False,2026-03
O000005,2026-04-12,C00955,R0141,Pune,Pizza,503.0,0,19,503.0,32,3.9,Delivered,Card,False,2.6,False,2026-04
O000006,2026-04-06,C01596,R0127,Mumbai,Chinese,854.0,60,0,794.0,34,3.6,Delivered,Card,True,2.7,False,2026-04
O000007,2026-06-22,C02897,R0222,Hyderabad,North Indian,496.0,0,0,496.0,39,,Rejected,UPI,False,1.4,False,2026-06
O000008,2026-04-24,C02289,R0019,Bengaluru,North Indian,504.0,0,39,504.0,52,3.6,Delivered,UPI,False,3.7,False,2026-04
O000009,2026-02-16,C02750,R0042,Mumbai,Burgers,612.0,60,0,552.0,35,3.9,Delivered,Wallet,True,6.7,False,2026-02
O000010,2026-02-27,C00340,R0041,Hyderabad,South Indian,339.0,40,19,299.0,24,3.5,Delivered,Card,True,0.9,False,2026-02
O000011,2026-05-13,C02841,R0050,Hyderabad,Biryani,526.0,60,0,466.0,26,4.5,Delivered,Card,True,2.0,False,2026-05
O000012,2026-05-01,C00744,R0231,Mumbai,South Indian,727.0,40,29,687.0,32,4.5,Delivered,UPI,True,2.3,False,2026-05
O000013,2026-04-28,C01495,R0131,Delhi NCR,South Indian,434.0,0,19,434.0,35,3.1,Delivered,Card,False,1.9,False,2026-04
O000014,2026-01-05,C02511,R0159,Bengaluru,South Indian,826.0,0,49,826.0,50,4.1,Delivered,Cash,False,4.5,True,2026-01
O000015,2026-04-06,C02849,R0076,Bengaluru,South Indian,533.0,60,29,473.0,37,4.1,Delivered,UPI,True,2.2,False,2026-04
O000016,2026-01-21,C01849,R0143,Hyderabad,Burgers,345.0,40,29,305.0,31,4.5,Delivered,UPI,True,2.2,True,2026-01
O000017,2026-06-01,C00015,R0182,Bengaluru,Pizza,209.0,60,39,149.0,37,3.9,Delivered,UPI,True,5.0,False,2026-06
O000018,2026-05-08,C01989,R0181,Bengaluru,Biryani,582.0,20,39,562.0,50,4.5,Delivered,Card,True,2.6,False,2026-05
O000019,2026-05-04,C00208,R0173,Mumbai,Pizza,381.0,0,39,381.0,29,5.0,Delivered,UPI,False,1.5,False,2026-05
O000020,2026-05-26,C01084,R0166,Chennai,Burgers,363.0,0,39,363.0,64,4.1,Delivered,UPI,False,12.2,True,2026-05
O000021,2026-01-21,C02413,R0232,Delhi NCR,Desserts,331.0,0,19,331.0,29,3.9,Delivered,UPI,False,3.0,True,2026-01
O000022,2026-02-23,C02656,R0206,Hyderabad,Desserts,568.0,60,29,508.0,34,4.0,Delivered,UPI,True,5.0,False,2026-02
